<http://rdf.freebase.com/ns/m.073v9d>,25
<http://rdf.freebase.com/ns/m.05c1x2g>,58
<http://rdf.freebase.com/ns/m.0cxnx_>,16
<http://rdf.freebase.com/ns/m.0k4p0>,15
<http://rdf.freebase.com/ns/m.01_mdl>,24
<http://rdf.freebase.com/ns/m.07mpbj>,20
<http://rdf.freebase.com/ns/m.02x6dqb>,17
<http://rdf.freebase.com/ns/m.04zs23>,15
<http://rdf.freebase.com/ns/m.0747q4>,19
<http://rdf.freebase.com/ns/m.0c9k8>,17
<http://rdf.freebase.com/ns/m.05k8wg>,16
<http://rdf.freebase.com/ns/m.01y4gy>,18
<http://rdf.freebase.com/ns/m.02p595>,22
<http://rdf.freebase.com/ns/m.06crgb>,23
<http://rdf.freebase.com/ns/m.03q05j>,18
<http://rdf.freebase.com/ns/m.05pxnmb>,17
<http://rdf.freebase.com/ns/m.03bx2lk>,24
<http://rdf.freebase.com/ns/m.0gcpc>,16
<http://rdf.freebase.com/ns/m.026hpg_>,19
<http://rdf.freebase.com/ns/m.042g97>,23
<http://rdf.freebase.com/ns/m.0b1klw>,16
<http://rdf.freebase.com/ns/m.0ftwy8>,15
<http://rdf.freebase.com/ns/m.0hmk4>,18
<http://rdf.freebase.com/ns/m.02rn00y>,75
<http://rdf.freebase.com/ns/m.0kvc0h>,15
<http://rdf.freebase.com/ns/m.02p775>,17
<http://rdf.freebase.com/ns/m.01dc46>,23
<http://rdf.freebase.com/ns/m.0hmr4>,17
<http://rdf.freebase.com/ns/m.02vrd4z>,20
<http://rdf.freebase.com/ns/m.02rxf6>,15
<http://rdf.freebase.com/ns/m.042y1c>,52
<http://rdf.freebase.com/ns/m.0kgxf>,39
<http://rdf.freebase.com/ns/m.0204dm>,36
<http://rdf.freebase.com/ns/m.0243cq>,51
<http://rdf.freebase.com/ns/m.09kgqdq>,17
<http://rdf.freebase.com/ns/m.01d2v1>,18
<http://rdf.freebase.com/ns/m.050xxm>,32
<http://rdf.freebase.com/ns/m.04f74c>,17
<http://rdf.freebase.com/ns/m.027j9wd>,46
<http://rdf.freebase.com/ns/m.0b4k1y>,27
<http://rdf.freebase.com/ns/m.01f7kl>,16
<http://rdf.freebase.com/ns/m.01242_>,19
<http://rdf.freebase.com/ns/m.01r6s5>,16
<http://rdf.freebase.com/ns/m.04m1bm>,16
<http://rdf.freebase.com/ns/m.032pdj>,17
<http://rdf.freebase.com/ns/m.0f_jd3>,39
<http://rdf.freebase.com/ns/m.06zkfsy>,21
<http://rdf.freebase.com/ns/m.0hv9p>,18
<http://rdf.freebase.com/ns/m.02gz3x>,18
<http://rdf.freebase.com/ns/m.02qhqz4>,78
<http://rdf.freebase.com/ns/m.0bt4g>,17
<http://rdf.freebase.com/ns/m.02qdzp9>,18
